ax,ay,bx,by,mx,my,width
0.78,0.76,0.76,0.77,0.77,0.77,0.0223607
0.97,0.25,0.79,0.22,0.88,0.24,0.182483
0.84,0.82,0.83,0.84,0.84,0.83,0.0223607
1.79,1.75,1.76,1.78,1.78,1.77,0.0424264
1.76,1.78,0.79,0.82,1.28,1.3,1.36473
0.87,0.85,0.85,0.86,0.86,0.86,0.0223607
1.82,1.78,1.79,1.81,1.81,1.8,0.0424264
0.74,-0.21,1.12,-0.29,0.93,-0.25,0.38833
0.73,0.71,0.72,0.73,0.73,0.72,0.0223607
0.86,0.84,0.84,0.85,0.85,0.85,0.0223607
1.8,1.75,1.77,1.78,1.79,1.77,0.0424264
1.78,1.74,1.75,1.77,1.77,1.76,0.0424264
0.81,0.74,0.8,0.75,0.81,0.75,0.0141422
-0.17,0.17,-0.17,0.17,-0.17,0.17,0
0.84,0.77,0.83,0.79,0.84,0.78,0.0223607
0.65,1.76,0.4,0.97,0.53,1.37,0.828613
0.4,0.97,0.38,0.98,0.39,0.98,0.0223607
0.51,0.44,0.79,0.84,0.65,0.64,0.488262
0.38,0.95,0.36,0.95,0.37,0.95,0.02
0.74,0.84,0.73,0.85,0.74,0.85,0.0141422
0.42,1.17,0.4,1.18,0.41,1.18,0.0223607
0.36,0.97,0.35,0.97,0.36,0.97,0.00999999
0.31,0.96,0.31,1.14,0.31,1.05,0.18
0.31,1.14,0.3,1.25,0.31,1.19,0.110454
0.52,1.78,0.36,0.96,0.44,1.37,0.835464
0.29,0.96,0.28,1.14,0.29,1.05,0.180278
0.28,1.14,0.27,1.25,0.27,1.19,0.110454
0.95,-0.23,1.14,-0.27,1.05,-0.25,0.194165
0.9,-0.31,0.9,-0.3,0.9,-0.31,0.01
0.36,0.9,0.34,0.9,0.35,0.9,0.02
0.35,0.98,0.33,0.98,0.34,0.98,0.02
0.9,-0.31,0.91,-0.3,0.91,-0.31,0.0141421
0.36,1,0.34,1.01,0.35,1.01,0.0223607
0.18,1.12,0.15,1.26,0.17,1.19,0.143178
0.38,1.03,0.36,1.03,0.37,1.03,0.02
0.16,1.27,0.19,0.33,0.18,0.8,0.940479
0.31,0.98,0.31,1.2,0.31,1.09,0.22
0.52,0.52,0.68,0.83,0.6,0.68,0.348855
0.17,1.47,0.16,1.23,0.17,1.35,0.240208
0.16,1.23,0.19,0.34,0.18,0.79,0.890505
0.71,1.78,0.68,1.78,0.7,1.78,0.03
0.18,1.23,0.16,1.12,0.17,1.18,0.111803
0.12,-0.18,0.12,-0.18,0.12,-0.18,0
0.08,-0.28,0.09,-0.28,0.09,-0.28,0.01
0.09,-0.28,0.14,-0.16,0.12,-0.22,0.13
0.15,-0.18,0.15,-0.18,0.15,-0.18,0
0.85,-0.27,0.52,-0.13,0.68,-0.2,0.358469
0.64,-0.04,1.18,-0.07,0.91,-0.06,0.540833
0.48,0.44,0.73,0.89,0.6,0.67,0.514781
0.69,0.04,0.48,0.02,0.59,0.03,0.21095
0.55,-0.07,0.71,-0.1,0.63,-0.09,0.162788
0.75,-0.07,0.99,-0.09,0.87,-0.08,0.240832
0.14,0.16,0.08,0.31,0.11,0.24,0.161555
0.45,0.86,0.68,1.76,0.57,1.31,0.928924
0.63,1.72,0.25,0.18,0.44,0.95,1.58619
