x,y,is_wall
1.32,-0.07,1
1.32,0.09,1
1.3,-0.17,1
1.31,-0.07,1
1.36,0.18,1
2.45,-0.67,0
1.32,0.07,1
2.44,-0.66,0
1.67,-0.61,0
1.38,0.16,1
1.37,0.1,1
0.91,0.17,1
2.46,-0.67,0
1.3,-0.16,1
1.33,0.05,1
1.07,0.17,1
1.68,-0.62,0
1.32,-0.09,1
2.43,-0.7,0
0.74,-0.34,1
2.39,-0.69,0
2.39,-0.7,0
2.42,-0.66,0
0.7,-0.4,1
2.35,-0.64,0
0.76,-0.32,1
1.1,0.17,1
1.54,-0.62,1
-0.02,-0.38,1
1.32,-0.19,1
2.39,-0.65,0
1.63,-0.62,1
1.35,0.17,1
1.36,0.17,1
2.4,-0.7,0
2.41,-0.7,0
1.73,-0.63,0
1.33,0.07,1
1.32,-0.17,1
2.41,-0.71,0
0.67,-0.4,1
1.23,0.15,1
2.42,-0.71,0
0.74,-0.33,1
1.63,-0.63,1
1.33,0.17,1
1.32,-0.11,1
2.47,-0.72,0
2.46,-0.72,0
0.18,-0.39,1
1.04,0.16,1
1.34,0.17,1
2.45,-0.71,0
1.58,-0.63,1
0.82,0.18,1
1.32,-0.13,1
2.4,-0.65,0
2.42,-0.7,0
-0.24,0.26,1
-0.24,0.27,1
1.08,0.17,1
2.44,-0.71,0
0.86,0.18,1
1.33,-0.19,1
2.38,-0.65,0
2.43,-0.71,0
1.66,-0.61,0
0.79,0.38,1
1.65,-0.64,1
1.33,-0.03,1
1.34,-0.19,1
2.45,-0.72,0
1.69,-0.62,0
1.57,-0.6,1
0.68,-0.4,1
0.84,0.17,1
2.43,-0.66,0
-0.06,-0.38,1
-0.24,0.25,1
1.34,-0.28,1
1.39,0.16,1
1.36,-0.17,1
-0.24,0.21,1
-0.24,0.22,1
-0.24,0.23,1
-0.24,0.24,1
0.8,0.31,1
0.81,0.23,1
0.81,0.18,1
0.85,0.17,1
0.66,-0.4,1
-0.07,-0.38,1
-0.08,-0.38,1
-0.09,-0.38,1
-0.1,-0.38,1
-0.11,-0.38,1
-0.27,0.43,1
0.64,0.39,1
1.75,-0.64,0
0.69,0.38,1
0.81,0.24,1
0.81,0.22,1
1.38,0.18,1
1.35,-0.17,1
2.6,-0.75,0
1.69,-0.61,0
1.31,-0.13,1
0.51,-0.39,1
0.5,-0.39,1
0.48,-0.39,1
0.41,-0.4,1
0.4,-0.4,1
0.39,-0.4,1
0.13,-0.39,1
0.1,-0.39,1
0.09,-0.39,1
0.08,-0.39,1
0.07,-0.39,1
0.06,-0.39,1
0.05,-0.39,1
0.04,-0.39,1
-0.12,-0.38,1
-0.13,-0.38,1
-0.15,-0.38,1
1.03,0.14,1
0.23,0.4,1
0.24,0.4,1
0.81,0.26,1
0.41,0.39,1
0.42,0.39,1
0.43,0.39,1
0.44,0.39,1
0.45,0.39,1
0.46,0.39,1
0.47,0.39,1
0.48,0.39,1
0.49,0.39,1
0.5,0.39,1
0.51,0.39,1
0.52,0.39,1
0.63,0.39,1
0.65,0.39,1
0.66,0.39,1
0.7,0.39,1
-0.25,0.01,1
0.81,0.3,1
0.82,0.23,1
0.82,0.22,1
0.81,0.2,1
0.82,0.19,1
0.83,0.18,1
1.09,0.17,1
1.36,0.1,1
2.45,-0.68,1
0.67,0.32,1
0.63,-0.32,1
-0.25,-0.01,1
1.73,-0.64,0
0.71,0.38,1
0.84,-0.34,1
2.46,-0.68,0
1.36,-0.19,1
1.39,0.14,1
1.34,0.05,1
0.81,0.27,1
1.21,0.14,1
0.7,0.13,1
0.81,0.21,1
0.67,0.25,1
0.9,-0.4,1
1.34,-0.17,1
0.72,0.15,1
-0.25,0.42,1
2.4,-0.68,0
1.33,-0.17,1
0.82,0.24,1
0.75,-0.31,1
2.34,-0.66,0
1.1,0.15,1
0.7,0.28,1
0.66,-0.34,1
1.11,0.15,1
0.71,0.28,0
0.7,0.22,1
0.7,0.23,1
0.66,-0.33,1
2.38,-0.66,1
0.71,0.2,1
2.43,-0.72,0
1.25,0.17,1
0.69,0.2,1
1.03,0.16,1
1.34,-0.03,1
1.68,-0.64,1
0.76,0.38,1
0.79,-0.34,1
1.36,0.03,1
0.96,0.16,1
0.94,0.4,1
2.35,-0.66,0
2.44,-0.67,0
1.38,0.04,1
1.34,-0.06,1
0.84,0.12,1
1.11,0.17,1
0.71,0.3,0
0.71,0.19,1
0.64,-0.33,1
2.44,-0.68,1
1.35,-0.34,0
1.66,-0.64,1
0.78,0.38,1
0.77,-0.34,1
0.69,-0.34,1
1.22,0.14,1
1.59,-0.63,1
0.7,-0.33,1
0.75,-0.34,1
0.64,-0.34,1
2.47,-0.69,1
1.29,0.16,1
0.8,0.3,1
1.33,-0.06,1
-0.14,0.42,1
0.03,0.41,1
0.83,0.15,1
0.7,0.18,1
1.38,-0.05,1
1.28,0.16,1
1.36,-0.28,1
0.82,0.17,1
0.83,0.17,1
0.86,-0.33,0
